condition,model,source_dataset,n_test,accuracy,f1,roc_auc,pr_auc,brier,ece
internal_only,logistic_regression,fever,200,0.445,0.5276595744680851,0.4656,0.47594835140251945,0.27639820582508995,0.16817744266023707
internal_only,logistic_regression,halueval,300,0.8466666666666667,0.8333333333333334,0.9467111111111111,0.9466724471991073,0.12583460134245342,0.1645450706007698
internal_only,logistic_regression,truthfulqa,300,0.5133333333333333,0.546583850931677,0.5044444444444445,0.48398180798898066,0.2703056260623226,0.12161612415256605
internal_only,xgboost,fever,200,0.48,0.5094339622641509,0.45180000000000003,0.4588271374362286,0.25957804304270793,0.07253792926669123
internal_only,xgboost,halueval,300,0.8633333333333333,0.8571428571428571,0.9428,0.9282656129366934,0.10595178090009374,0.11653239834432802
internal_only,xgboost,truthfulqa,300,0.5833333333333334,0.6355685131195336,0.5963111111111111,0.5851604599324871,0.2524606483879845,0.08870165580262741
self_consistency_only,logistic_regression,fever,200,0.45,0.15384615384615385,0.5171,0.4937034704500025,0.2506657369760633,0.06640225904137106
self_consistency_only,logistic_regression,halueval,300,0.4633333333333333,0.5515320334261838,0.43620000000000003,0.4526163034400689,0.25402382818337527,0.061377939763428285
self_consistency_only,logistic_regression,truthfulqa,300,0.5433333333333333,0.47104247104247104,0.5285777777777778,0.5322944316674753,0.2496126875152441,0.029702060543479278
self_consistency_only,xgboost,fever,200,0.51,0.4731182795698925,0.4888,0.4981854603384759,0.25594573596802395,0.042386292964220064
self_consistency_only,xgboost,halueval,300,0.5066666666666667,0.5795454545454546,0.48764444444444444,0.4811331670216077,0.2579099986459923,0.047042479713757794
self_consistency_only,xgboost,truthfulqa,300,0.5133333333333333,0.5379746835443038,0.4948666666666667,0.4960567253138799,0.2559775364500863,0.044600966274738287
nli_only,logistic_regression,fever,200,0.58,0.46835443037974683,0.6177,0.639529368356404,0.24794132642961486,0.06834910050583631
nli_only,logistic_regression,halueval,300,0.4766666666666667,0.579088471849866,0.4752666666666666,0.49259887985913253,0.25072455680629924,0.039523284343542256
nli_only,logistic_regression,truthfulqa,300,0.48,0.417910447761194,0.4668888888888889,0.4975809829690021,0.25140006858203195,0.029572777362152712
nli_only,xgboost,fever,200,0.52,0.5102040816326531,0.5608500000000001,0.5683689285720036,0.2477843583786411,0.018863548487424876
nli_only,xgboost,halueval,300,0.46,0.509090909090909,0.4869555555555556,0.499074120658022,0.2547333345910641,0.08571265180905657
nli_only,xgboost,truthfulqa,300,0.45,0.45182724252491696,0.4502,0.4820376635555129,0.2582485782807671,0.09671437144279484
internal_plus_self_consistency,logistic_regression,fever,200,0.45,0.5258620689655172,0.4625,0.47788659174838843,0.2757838112524713,0.15939230788267209
internal_plus_self_consistency,logistic_regression,halueval,300,0.8433333333333334,0.8362369337979094,0.9234666666666667,0.9271128415528492,0.1254129089758693,0.12557151313834525
internal_plus_self_consistency,logistic_regression,truthfulqa,300,0.51,0.5180327868852459,0.5315555555555556,0.5055526496680407,0.26639974237441405,0.1222659848830834
internal_plus_self_consistency,xgboost,fever,200,0.465,0.5069124423963134,0.46090000000000003,0.45823060596893656,0.25954687671421484,0.09063364565372466
internal_plus_self_consistency,xgboost,halueval,300,0.8666666666666667,0.8666666666666667,0.9451999999999999,0.9365560826906333,0.09419393490878271,0.07035920456051827
internal_plus_self_consistency,xgboost,truthfulqa,300,0.56,0.5686274509803921,0.5997777777777777,0.622619373182802,0.24412040455034278,0.0543883418167631
internal_plus_nli,logistic_regression,fever,200,0.475,0.5493562231759657,0.4837,0.4956184472258789,0.27372275265137264,0.14240618444935732
internal_plus_nli,logistic_regression,halueval,300,0.86,0.852112676056338,0.9382666666666667,0.9390659125446487,0.12110392583039588,0.14476258753566365
internal_plus_nli,logistic_regression,truthfulqa,300,0.48333333333333334,0.4850498338870432,0.5018222222222223,0.48098586782882974,0.2726245020147336,0.14868209517665784
internal_plus_nli,xgboost,fever,200,0.535,0.5130890052356021,0.5678,0.5651913697228679,0.24717765706475198,0.03831257939338683
internal_plus_nli,xgboost,halueval,300,0.87,0.8677966101694915,0.9393333333333334,0.9280077606663744,0.09745015249337605,0.05392880296334625
internal_plus_nli,xgboost,truthfulqa,300,0.56,0.5510204081632653,0.5971555555555556,0.5946635899037787,0.24676283205477234,0.06156792451937993
self_consistency_plus_nli,logistic_regression,fever,200,0.515,0.302158273381295,0.5733,0.536762817392375,0.2483339076601701,0.018850566432171673
self_consistency_plus_nli,logistic_regression,halueval,300,0.44666666666666666,0.546448087431694,0.42695555555555553,0.44490446483904783,0.25392574061342654,0.07839309073849932
self_consistency_plus_nli,logistic_regression,truthfulqa,300,0.4766666666666667,0.4529616724738676,0.5018666666666667,0.5040895384755226,0.2513215974839806,0.042475226441579556
self_consistency_plus_nli,xgboost,fever,200,0.49,0.41379310344827586,0.5175,0.5393309611776569,0.25204091429098263,0.07308714151382446
self_consistency_plus_nli,xgboost,halueval,300,0.5,0.5535714285714286,0.49171111111111115,0.5010079741572694,0.2565217574597402,0.05618019680182138
self_consistency_plus_nli,xgboost,truthfulqa,300,0.5233333333333333,0.5311475409836065,0.5146222222222222,0.5166797430410687,0.25306687501426384,0.036681088109811154
all_three,logistic_regression,fever,200,0.485,0.5381165919282511,0.48700000000000004,0.5002765453410132,0.2712614747880889,0.13025007811204137
all_three,logistic_regression,halueval,300,0.84,0.8344827586206897,0.9311111111111111,0.9351866259667764,0.1223951973340211,0.13332272206641418
all_three,logistic_regression,truthfulqa,300,0.5133333333333333,0.5165562913907285,0.5210222222222223,0.4996181813182248,0.2702860621697295,0.12085594759826994
all_three,xgboost,fever,200,0.53,0.5154639175257731,0.5441,0.5682481169622635,0.24945684873674054,0.06554773777723312
all_three,xgboost,halueval,300,0.8633333333333333,0.8619528619528619,0.9433333333333334,0.9368132938341208,0.09608097623682511,0.0667981254061063
all_three,xgboost,truthfulqa,300,0.5933333333333334,0.5933333333333334,0.6065777777777778,0.6170866786397021,0.2420029816247784,0.05274322308599948
