condition,feature_group,feature_count,model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,ece,tp,fp,tn,fn,delta_accuracy,delta_f1,delta_roc_auc,delta_pr_auc,delta_brier,delta_ece
internal_only,internal,11,logistic_regression,0.62125,0.6120092378752887,0.6625,0.6362545018007203,0.693025,0.6618365120907956,0.2176521367330635,0.06489242806726403,265,168,232,135,0.0,0.0,0.0,0.0,0.0,0.0
internal_only,internal,11,xgboost,0.6625,0.6470588235294118,0.715,0.6793349168646081,0.73973125,0.7329102634570974,0.1992991717437063,0.02276935162721204,286,156,244,114,0.0,0.0,0.0,0.0,0.0,0.0
self_consistency_only,self_consistency,5,logistic_regression,0.49,0.4885057471264368,0.425,0.45454545454545453,0.4844593749999999,0.48628741327773567,0.2515301276309981,0.030033933564934813,170,178,222,230,-0.13124999999999998,-0.18170904725526577,-0.2085656250000001,-0.17554909881305997,0.033877990897934585,-0.03485849450232922
self_consistency_only,self_consistency,5,xgboost,0.51,0.5088105726872246,0.5775,0.5409836065573771,0.48960312500000003,0.4870042484639145,0.25669425965303544,0.0449628654867411,231,223,177,169,-0.15249999999999997,-0.13835131030723102,-0.2501281249999999,-0.24590601499318293,0.05739508790932915,0.022193513859529064
nli_only,nli,3,logistic_regression,0.50375,0.5037593984962406,0.5025,0.5031289111389237,0.504953125,0.5025043736632189,0.2502820661280279,0.008823748013176536,201,198,202,199,-0.11749999999999994,-0.13312559066179663,-0.188071875,-0.15933213842757676,0.032629929394964396,-0.056068680054087494
nli_only,nli,3,xgboost,0.47125,0.47306791569086654,0.505,0.48851269649334944,0.49119375,0.5004948598506325,0.254314306921597,0.07312602084130053,202,225,175,198,-0.19124999999999998,-0.19082222037125868,-0.24853749999999997,-0.23241540360646495,0.05501513517789072,0.05035666921408849
internal_plus_self_consistency,internal_plus_sc,16,logistic_regression,0.62,0.6132075471698113,0.65,0.6310679611650486,0.70361875,0.7042681508855652,0.21587569706947407,0.06127664382559698,260,164,236,140,-0.0012499999999999734,-0.005186540635671699,0.010593749999999957,0.04243163879476952,-0.0017764396635894242,-0.0036157842416670513
internal_plus_self_consistency,internal_plus_sc,16,xgboost,0.65125,0.6430260047281324,0.68,0.660996354799514,0.7563375,0.7674927017666526,0.1917545964757258,0.0449954733112827,272,151,249,128,-0.011249999999999982,-0.0183385620650941,0.016606250000000045,0.03458243830955521,-0.007544575267980497,0.022226121684070663
internal_plus_nli,internal_plus_nli,14,logistic_regression,0.6225,0.6172248803827751,0.645,0.6308068459657702,0.7032562499999999,0.6994482883326691,0.21607884860476673,0.05764526427541886,258,160,240,142,0.0012500000000000844,-0.005447655834950105,0.010231249999999914,0.03761177624187351,-0.0015732881282967681,-0.007247163791845167
internal_plus_nli,internal_plus_nli,14,xgboost,0.67,0.6789473684210526,0.645,0.6615384615384615,0.7658562499999999,0.7696960309838203,0.19087428347174362,0.02574672265211119,258,122,278,142,0.007500000000000062,-0.0177964553261466,0.026124999999999954,0.03678576752672291,-0.008424888271962666,0.0029773710248991517
self_consistency_plus_nli,sc_plus_nli,8,logistic_regression,0.475,0.4744897959183674,0.465,0.4696969696969697,0.4873656249999999,0.4794788861259728,0.2515512287015702,0.047476406404256564,186,206,194,214,-0.14625,-0.16655753210375057,-0.2056593750000001,-0.18235762596482286,0.03389909196850671,-0.017416021663007465
self_consistency_plus_nli,sc_plus_nli,8,xgboost,0.50625,0.5060240963855421,0.525,0.5153374233128835,0.5053375,0.5128480096659387,0.25410596575049715,0.05219523463398218,210,205,195,190,-0.15625,-0.16399749355172466,-0.23439374999999996,-0.22006225379115874,0.054806794006790865,0.02942588300677014
all_three,all_three,19,logistic_regression,0.62875,0.6240963855421687,0.6475,0.6355828220858896,0.70789375,0.7123531118944157,0.2150708410109287,0.052540947981810276,259,156,244,141,0.007500000000000062,-0.0006716797148307307,0.014868749999999986,0.05051659980362011,-0.0025812957221348076,-0.012351480085453753
all_three,all_three,19,xgboost,0.67875,0.6828644501278772,0.6675,0.6750948166877371,0.7688125000000001,0.7795115343168141,0.18914569638228645,0.034074821127578606,267,124,276,133,0.016249999999999987,-0.004240100176871042,0.02908125000000017,0.04660127085971666,-0.010153475361419834,0.011305469500366566
