id,source_dataset,original_label,num_generations,mean_pairwise_entailment,mean_pairwise_contradiction,mean_pairwise_neutral,fraction_entailing_pairs,fraction_contradicting_pairs,fraction_neutral_pairs,nli_disagreement
halueval-8758,halueval,0,5,0.3849714572976965,0.5993782469301545,0.015650295772148905,0.4,0.6,0.0,0.607203394816229
fever_192759,fever,1,5,0.05872264155958497,0.5587492916118793,0.38252806682853585,0.0,0.7,0.3,0.7500133250261471
halueval-8221,halueval,1,5,0.6919772906548667,0.263446366032592,0.044576343312541296,0.6,0.4,0.0,0.2857345376888627
fever_67766,fever,0,5,0.24047292483933425,0.038579909402934695,0.7209471657577311,0.0,0.0,1.0,0.39905349228180026
truthfulqa_539_corr_4,truthfulqa,0,5,0.1438636662000971,0.27079742448832145,0.5853389093115815,0.0,0.1,0.9,0.5634668791441122
halueval-5754,halueval,0,5,0.6360518774856929,0.012775778459148308,0.35117234405515885,0.3,0.0,0.7,0.18836195048672774
truthfulqa_152_corr_0,truthfulqa,0,5,0.1624020701786589,0.6713003205343909,0.16629760928695023,0.1,0.7,0.2,0.754449125177866
halueval-7261,halueval,1,5,0.1267109651574519,0.5853099660539691,0.28797906878857893,0.1,0.7,0.2,0.7292995004482585
halueval-6985,halueval,1,5,0.6702632229619361,0.07277889059019918,0.2569578864478649,0.9,0.1,0.0,0.20125783381413162
halueval-6762,halueval,1,5,0.2979667518439055,0.42574386986700785,0.2762893782890866,0.4,0.4,0.2,0.5638885590115512
fever_49839,fever,1,5,0.10503520934157513,0.27344522126546383,0.621519569392961,0.0,0.3,0.7,0.5842050059619444
fever_148149,fever,1,5,0.04514795958085764,0.11562991412579574,0.8392221262933466,0.0,0.1,0.9,0.535240977272469
halueval-2767,halueval,1,5,0.5948316095459256,0.04378975520888986,0.3613786352451845,0.3,0.0,0.7,0.2244790728314821
halueval-4873,halueval,1,5,0.5891979523936584,0.397805073655202,0.012996973951139797,0.6,0.4,0.0,0.4043035606307719
fever_198217,fever,0,5,0.3915201898554292,0.10396890030689428,0.5045109098376764,0.3,0.0,0.7,0.3562243552257325
fever_171500,fever,0,5,0.01525578793350615,0.0811049469145961,0.9036392651518976,0.0,0.0,1.0,0.532924579490545
halueval-439,halueval,1,5,0.9874209417898167,0.002772243802173251,0.009806814408010121,1.0,0.0,0.0,0.007675651006178312
halueval-3120,halueval,1,5,0.9908941589148682,0.001718446105066686,0.007387394980065269,1.0,0.0,0.0,0.00541214359509932
halueval-9163,halueval,0,5,0.5612808399299503,0.09078225356864097,0.3479369065014088,0.4,0.0,0.6,0.26475070681934537
halueval-223,halueval,1,5,0.6556564908490212,0.0026945338058095955,0.34164897534516925,0.4,0.0,0.6,0.1735190214783942
