id,source_dataset,original_label,num_generations,exact_match_agreement,unique_response_ratio,majority_response_fraction,mean_pairwise_similarity,min_pairwise_similarity,max_pairwise_similarity,pairwise_similarity_std,generation_disagreement
halueval-8465,halueval,1,5,1.0,0.2,1.0,0.9144852757453918,0.8528854250907898,1.0,0.05566880479454994,0.08551472425460815
halueval-9667,halueval,1,5,0.0,1.0,0.2,0.8713045120239258,0.766732931137085,0.9932417869567871,0.08339070528745651,0.12869548797607422
halueval-8673,halueval,0,5,0.4,0.4,0.6,0.7128902673721313,0.5214837789535522,1.0,0.23442412912845612,0.28710973262786865
halueval-5554,halueval,0,5,1.0,0.2,1.0,1.0,1.0,1.0,0.0,0.0
halueval-8298,halueval,0,5,0.0,1.0,0.2,0.8260919451713562,0.6407833099365234,0.9728329181671143,0.11919895559549332,0.1739080548286438
halueval-157,halueval,1,5,0.6,0.4,0.8,0.9093319773674011,0.7733301520347595,0.9999999403953552,0.11104506254196167,0.09066802263259888
halueval-9946,halueval,1,5,0.0,1.0,0.2,0.9450021982192993,0.9102929830551147,0.9843007922172546,0.022355226799845695,0.054997801780700684
halueval-7444,halueval,0,5,0.4,0.4,0.6,0.5028183460235596,0.17136399447917938,1.0,0.4059470295906067,0.49718165397644043
halueval-1567,halueval,1,5,0.3,0.6,0.6,0.6332475543022156,0.4069923758506775,1.0,0.24740368127822876,0.3667524456977844
halueval-5072,halueval,0,5,0.2,0.6,0.4,0.6096287965774536,0.3512043058872223,1.0,0.30817651748657227,0.3903712034225464
halueval-3409,halueval,1,5,0.0,1.0,0.2,0.8265830278396606,0.7597368955612183,0.9022613763809204,0.045774590224027634,0.17341697216033936
halueval-6034,halueval,1,5,0.2,0.6,0.4,0.6195945739746094,0.33758145570755005,1.0,0.24514509737491608,0.3804054260253906
halueval-1239,halueval,0,5,0.1,0.8,0.4,0.6116954684257507,0.09162088483572006,1.0,0.3549766540527344,0.38830453157424927
halueval-4890,halueval,1,5,1.0,0.2,1.0,1.0,1.0,1.0,0.0,0.0
