model,calibration_method,probability_bin,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_positive_rate,absolute_calibration_error
logistic_regression,uncalibrated,1,0.0,0.1,6,0.0732,0.1667,0.0935
logistic_regression,uncalibrated,2,0.1,0.2,68,0.1615,0.0882,0.0733
logistic_regression,uncalibrated,3,0.2,0.3,71,0.2468,0.2535,0.0067
logistic_regression,uncalibrated,4,0.3,0.4,101,0.3604,0.4851,0.1248
logistic_regression,uncalibrated,5,0.4,0.5,143,0.4535,0.4685,0.015
logistic_regression,uncalibrated,6,0.5,0.6,140,0.5527,0.5,0.0527
logistic_regression,uncalibrated,7,0.6,0.7,144,0.6457,0.6111,0.0345
logistic_regression,uncalibrated,8,0.7,0.8,69,0.7492,0.7536,0.0044
logistic_regression,uncalibrated,9,0.8,0.9,47,0.837,0.8085,0.0285
logistic_regression,uncalibrated,10,0.9,1.0,11,0.9281,1.0,0.0719
logistic_regression,sigmoid,1,0.0,0.1,0,,,0.0
logistic_regression,sigmoid,2,0.1,0.2,58,0.173,0.1034,0.0696
logistic_regression,sigmoid,3,0.2,0.3,88,0.2407,0.2159,0.0248
logistic_regression,sigmoid,4,0.3,0.4,107,0.3559,0.4673,0.1114
logistic_regression,sigmoid,5,0.4,0.5,131,0.4521,0.4962,0.044
logistic_regression,sigmoid,6,0.5,0.6,132,0.5533,0.4848,0.0684
logistic_regression,sigmoid,7,0.6,0.7,143,0.6482,0.6014,0.0468
logistic_regression,sigmoid,8,0.7,0.8,92,0.7492,0.7283,0.0209
logistic_regression,sigmoid,9,0.8,0.9,49,0.8333,0.8776,0.0443
logistic_regression,sigmoid,10,0.9,1.0,0,,,0.0
logistic_regression,isotonic,1,0.0,0.1,8,0.0027,0.25,0.2473
logistic_regression,isotonic,2,0.1,0.2,72,0.1067,0.0694,0.0372
logistic_regression,isotonic,3,0.2,0.3,59,0.2896,0.2881,0.0015
logistic_regression,isotonic,4,0.3,0.4,44,0.3792,0.4545,0.0754
logistic_regression,isotonic,5,0.4,0.5,153,0.4762,0.4902,0.014
logistic_regression,isotonic,6,0.5,0.6,276,0.5159,0.5072,0.0086
logistic_regression,isotonic,7,0.6,0.7,72,0.623,0.6389,0.0159
logistic_regression,isotonic,8,0.7,0.8,26,0.7727,0.7308,0.042
logistic_regression,isotonic,9,0.8,0.9,25,0.8333,0.92,0.0867
logistic_regression,isotonic,10,0.9,1.0,65,0.9731,0.8154,0.1577
xgboost,uncalibrated,1,0.0,0.1,88,0.0384,0.0,0.0384
xgboost,uncalibrated,2,0.1,0.2,16,0.1529,0.125,0.0279
xgboost,uncalibrated,3,0.2,0.3,29,0.2595,0.4483,0.1888
xgboost,uncalibrated,4,0.3,0.4,93,0.3615,0.3548,0.0067
xgboost,uncalibrated,5,0.4,0.5,173,0.4483,0.5318,0.0835
xgboost,uncalibrated,6,0.5,0.6,153,0.5439,0.4379,0.106
xgboost,uncalibrated,7,0.6,0.7,92,0.6503,0.5978,0.0524
xgboost,uncalibrated,8,0.7,0.8,44,0.7388,0.8409,0.1021
xgboost,uncalibrated,9,0.8,0.9,44,0.857,0.7727,0.0843
xgboost,uncalibrated,10,0.9,1.0,68,0.9354,0.9853,0.0499
xgboost,sigmoid,1,0.0,0.1,91,0.0682,0.0,0.0682
xgboost,sigmoid,2,0.1,0.2,29,0.1549,0.2759,0.121
xgboost,sigmoid,3,0.2,0.3,55,0.2603,0.2909,0.0306
xgboost,sigmoid,4,0.3,0.4,124,0.356,0.4677,0.1117
xgboost,sigmoid,5,0.4,0.5,123,0.4496,0.5447,0.0951
xgboost,sigmoid,6,0.5,0.6,118,0.5473,0.4492,0.0981
xgboost,sigmoid,7,0.6,0.7,75,0.655,0.5867,0.0684
xgboost,sigmoid,8,0.7,0.8,65,0.7478,0.7077,0.0401
xgboost,sigmoid,9,0.8,0.9,57,0.8653,0.7895,0.0758
xgboost,sigmoid,10,0.9,1.0,63,0.9138,1.0,0.0862
xgboost,isotonic,1,0.0,0.1,97,0.0074,0.0103,0.0029
xgboost,isotonic,2,0.1,0.2,7,0.1447,0.1429,0.0018
xgboost,isotonic,3,0.2,0.3,0,,,0.0
xgboost,isotonic,4,0.3,0.4,86,0.3276,0.3605,0.0329
xgboost,isotonic,5,0.4,0.5,256,0.4533,0.4805,0.0271
xgboost,isotonic,6,0.5,0.6,103,0.5113,0.4854,0.0259
xgboost,isotonic,7,0.6,0.7,131,0.6622,0.6565,0.0057
xgboost,isotonic,8,0.7,0.8,8,0.7494,0.875,0.1256
xgboost,isotonic,9,0.8,0.9,0,,,0.0
xgboost,isotonic,10,0.9,1.0,112,0.9469,0.9018,0.0451
