condition,model,source_dataset,n_test,accuracy,f1,roc_auc,pr_auc,brier,ece
internal_only,logistic_regression,fever,1000,0.506,0.6140625,0.486808,0.48184312177528843,0.2951917552474855,0.1716322271140759
internal_only,xgboost,fever,1000,0.483,0.47724974721941354,0.490256,0.48696160016337997,0.26807556199530524,0.11862686046957967
internal_plus_self_consistency,logistic_regression,fever,1000,0.506,0.6246200607902735,0.488236,0.48254164329622173,0.2993166693117788,0.18254710071437524
internal_plus_self_consistency,xgboost,fever,1000,0.509,0.5474654377880185,0.49989600000000006,0.4891287338607465,0.263628395329248,0.08239211575686929
internal_plus_nli,logistic_regression,fever,1000,0.497,0.6209495101733233,0.48746,0.48472067372292105,0.30715710948443586,0.20957370771945547
internal_plus_nli,xgboost,fever,1000,0.507,0.5396825396825397,0.514336,0.5260001316758781,0.259250098568988,0.08763149602711202
all_three,logistic_regression,fever,1000,0.496,0.6216216216216216,0.487508,0.4839525503988669,0.3072030690759917,0.20644412111098479
all_three,xgboost,fever,1000,0.506,0.5581395348837209,0.516684,0.507766239244396,0.2599162133663128,0.0911609657406807
internal_only,logistic_regression,truthfulqa,1500,0.466,0.5206463195691203,0.44393599999999994,0.454353395633327,0.3248271701244624,0.2298869059490436
internal_only,xgboost,truthfulqa,1500,0.47933333333333333,0.5951270088128564,0.4538711111111111,0.45840402421400955,0.36509059676273214,0.2948770493455231
internal_plus_self_consistency,logistic_regression,truthfulqa,1500,0.4786666666666667,0.47233468286099867,0.4553937777777778,0.45926193888843697,0.31789848490543615,0.2051811347983391
internal_plus_self_consistency,xgboost,truthfulqa,1500,0.48133333333333334,0.5947916666666667,0.4581635555555556,0.4678421853036503,0.34336341910202556,0.2621276021519055
internal_plus_nli,logistic_regression,truthfulqa,1500,0.4746666666666667,0.4580467675378267,0.4455697777777778,0.4541463482966786,0.32164152522076145,0.21148612333967376
internal_plus_nli,xgboost,truthfulqa,1500,0.48333333333333334,0.5862253069941271,0.4581288888888889,0.4656527195637009,0.34314310848829777,0.2554882860134045
all_three,logistic_regression,truthfulqa,1500,0.47533333333333333,0.4334053275737941,0.45754133333333336,0.46037117400749755,0.32005330557808226,0.21692917912627957
all_three,xgboost,truthfulqa,1500,0.48533333333333334,0.5970772442588727,0.4607697777777777,0.4748081178013671,0.3339421014750432,0.24368454913515597
internal_only,logistic_regression,halueval,1500,0.214,0.2134756504336224,0.16006577777777778,0.33655048764784123,0.3562736879599297,0.41935375118981905
internal_only,xgboost,halueval,1500,0.398,0.3984010659560293,0.3598737777777778,0.42146978473013874,0.30828569450306775,0.2272013631761074
internal_plus_self_consistency,logistic_regression,halueval,1500,0.4186666666666667,0.5467775467775468,0.27060622222222225,0.3630131827998211,0.36050159901965023,0.32131008524684557
internal_plus_self_consistency,xgboost,halueval,1500,0.416,0.5335463258785943,0.39935644444444446,0.4508474932102245,0.3048526382611904,0.22767774733901022
internal_plus_nli,logistic_regression,halueval,1500,0.388,0.5085653104925053,0.19883377777777778,0.3446768303067422,0.36008959935446183,0.38386817566466463
internal_plus_nli,xgboost,halueval,1500,0.44333333333333336,0.5763571790969051,0.4445244444444445,0.49435131737456384,0.30249646921814943,0.22734116888046266
all_three,logistic_regression,halueval,1500,0.4493333333333333,0.5819838056680162,0.25828977777777773,0.3593496595515846,0.36311647992415114,0.32290992059079554
all_three,xgboost,halueval,1500,0.432,0.5644171779141104,0.43676799999999993,0.4663785313033443,0.3048033268669379,0.230180623849233
