experiment,train_datasets,test_dataset,feature_configuration,feature_count,model,train_n,test_n,test_label_0,test_label_1,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,ece,tp,fp,tn,fn,delta_accuracy,delta_f1,delta_roc_auc,delta_pr_auc,delta_brier,delta_ece
exp1_test_fever,halueval+truthfulqa,fever,internal_only,11,logistic_regression,3000,1000,500,500,0.506,0.5038461538461538,0.786,0.6140625,0.486808,0.48184312177528843,0.2951917552474855,0.1716322271140759,393,387,113,107,0.0,0.0,0.0,0.0,0.0,0.0
exp1_test_fever,halueval+truthfulqa,fever,internal_only,11,xgboost,3000,1000,500,500,0.483,0.48261758691206547,0.472,0.47724974721941354,0.490256,0.48696160016337997,0.26807556199530524,0.11862686046957967,236,253,247,264,0.0,0.0,0.0,0.0,0.0,0.0
exp1_test_fever,halueval+truthfulqa,fever,internal_plus_self_consistency,16,logistic_regression,3000,1000,500,500,0.506,0.5036764705882353,0.822,0.6246200607902735,0.488236,0.48254164329622173,0.2993166693117788,0.18254710071437524,411,405,95,89,0.0,0.01055756079027359,0.0014279999999999848,0.000698521520933304,0.004124914064293328,0.01091487360029933
exp1_test_fever,halueval+truthfulqa,fever,internal_plus_self_consistency,16,xgboost,3000,1000,500,500,0.509,0.5076923076923077,0.594,0.5474654377880185,0.49989600000000006,0.4891287338607465,0.263628395329248,0.08239211575686929,297,288,212,203,0.026000000000000023,0.07021569056860494,0.009640000000000037,0.002167133697366541,-0.004447166666057267,-0.036234744712710376
exp1_test_fever,halueval+truthfulqa,fever,internal_plus_nli,14,logistic_regression,3000,1000,500,500,0.497,0.49818621523579204,0.824,0.6209495101733233,0.48746,0.48472067372292105,0.30715710948443586,0.20957370771945547,412,415,85,88,-0.009000000000000008,0.006887010173323382,0.0006519999999999859,0.0028775519476326172,0.011965354236950387,0.03794148060537955
exp1_test_fever,halueval+truthfulqa,fever,internal_plus_nli,14,xgboost,3000,1000,500,500,0.507,0.5061295971978984,0.578,0.5396825396825397,0.514336,0.5260001316758781,0.259250098568988,0.08763149602711202,289,282,218,211,0.02400000000000002,0.06243279246312611,0.02407999999999999,0.03903853151249814,-0.008825463426317237,-0.030995364442467643
exp1_test_fever,halueval+truthfulqa,fever,all_three,19,logistic_regression,3000,1000,500,500,0.496,0.49759615384615385,0.828,0.6216216216216216,0.487508,0.4839525503988669,0.3072030690759917,0.20644412111098479,414,418,82,86,-0.010000000000000009,0.007559121621621645,0.0006999999999999784,0.002109428623578491,0.012011313828506232,0.03481189399690887
exp1_test_fever,halueval+truthfulqa,fever,all_three,19,xgboost,3000,1000,500,500,0.506,0.5048543689320388,0.624,0.5581395348837209,0.516684,0.507766239244396,0.2599162133663128,0.0911609657406807,312,306,194,188,0.02300000000000002,0.08088978766430738,0.026428000000000007,0.02080463908101604,-0.008159348628992424,-0.027465894728898974
exp2_test_truthfulqa,halueval+fever,truthfulqa,internal_only,11,logistic_regression,2500,1500,750,750,0.466,0.4723127035830619,0.58,0.5206463195691203,0.44393599999999994,0.454353395633327,0.3248271701244624,0.2298869059490436,435,486,264,315,0.0,0.0,0.0,0.0,0.0,0.0
exp2_test_truthfulqa,halueval+fever,truthfulqa,internal_only,11,xgboost,2500,1500,750,750,0.47933333333333333,0.4868532654792197,0.7653333333333333,0.5951270088128564,0.4538711111111111,0.45840402421400955,0.36509059676273214,0.2948770493455231,574,605,145,176,0.0,0.0,0.0,0.0,0.0,0.0
exp2_test_truthfulqa,halueval+fever,truthfulqa,internal_plus_self_consistency,16,logistic_regression,2500,1500,750,750,0.4786666666666667,0.4781420765027322,0.4666666666666667,0.47233468286099867,0.4553937777777778,0.45926193888843697,0.31789848490543615,0.2051811347983391,350,382,368,400,0.01266666666666666,-0.048311636708121664,0.011457777777777844,0.004908543255109976,-0.006928685219026232,-0.024705771150704492
exp2_test_truthfulqa,halueval+fever,truthfulqa,internal_plus_self_consistency,16,xgboost,2500,1500,750,750,0.48133333333333334,0.488034188034188,0.7613333333333333,0.5947916666666667,0.4581635555555556,0.4678421853036503,0.34336341910202556,0.2621276021519055,571,599,151,179,0.0020000000000000018,-0.0003353421461896877,0.004292444444444488,0.00943816108964074,-0.021727177660706587,-0.03274944719361761
exp2_test_truthfulqa,halueval+fever,truthfulqa,internal_plus_nli,14,logistic_regression,2500,1500,750,750,0.4746666666666667,0.47301136363636365,0.444,0.4580467675378267,0.4455697777777778,0.4541463482966786,0.32164152522076145,0.21148612333967376,333,371,379,417,0.008666666666666656,-0.06259955203129364,0.001633777777777845,-0.0002070473366483916,-0.003185644903700935,-0.018400782609369837
exp2_test_truthfulqa,halueval+fever,truthfulqa,internal_plus_nli,14,xgboost,2500,1500,750,750,0.48333333333333334,0.4888691006233304,0.732,0.5862253069941271,0.4581288888888889,0.4656527195637009,0.34314310848829777,0.2554882860134045,549,574,176,201,0.0040000000000000036,-0.00890170181872929,0.004257777777777805,0.007248695349691359,-0.02194748827443438,-0.039388763332118604
exp2_test_truthfulqa,halueval+fever,truthfulqa,all_three,19,logistic_regression,2500,1500,750,750,0.47533333333333333,0.47104851330203446,0.4013333333333333,0.4334053275737941,0.45754133333333336,0.46037117400749755,0.32005330557808226,0.21692917912627957,301,338,412,449,0.009333333333333305,-0.08724099199532626,0.013605333333333414,0.006017778374170557,-0.004773864546380124,-0.012957726822764026
exp2_test_truthfulqa,halueval+fever,truthfulqa,all_three,19,xgboost,2500,1500,750,750,0.48533333333333334,0.49056603773584906,0.7626666666666667,0.5970772442588727,0.4607697777777777,0.4748081178013671,0.3339421014750432,0.24368454913515597,572,594,156,178,0.006000000000000005,0.0019502354460162463,0.0068986666666666085,0.01640409358735756,-0.031148495287688927,-0.05119250021036714
exp3_test_halueval,truthfulqa+fever,halueval,internal_only,11,logistic_regression,2500,1500,750,750,0.214,0.2136181575433912,0.21333333333333335,0.2134756504336224,0.16006577777777778,0.33655048764784123,0.3562736879599297,0.41935375118981905,160,589,161,590,0.0,0.0,0.0,0.0,0.0,0.0
exp3_test_halueval,truthfulqa+fever,halueval,internal_only,11,xgboost,2500,1500,750,750,0.398,0.3981358189081225,0.39866666666666667,0.3984010659560293,0.3598737777777778,0.42146978473013874,0.30828569450306775,0.2272013631761074,299,452,298,451,0.0,0.0,0.0,0.0,0.0,0.0
exp3_test_halueval,truthfulqa+fever,halueval,internal_plus_self_consistency,16,logistic_regression,2500,1500,750,750,0.4186666666666667,0.44804088586030666,0.7013333333333334,0.5467775467775468,0.27060622222222225,0.3630131827998211,0.36050159901965023,0.32131008524684557,526,648,102,224,0.2046666666666667,0.3333018963439244,0.11054044444444447,0.026462695151979854,0.004227911059720535,-0.09804366594297348
exp3_test_halueval,truthfulqa+fever,halueval,internal_plus_self_consistency,16,xgboost,2500,1500,750,750,0.416,0.4441489361702128,0.668,0.5335463258785943,0.39935644444444446,0.4508474932102245,0.3048526382611904,0.22767774733901022,501,627,123,249,0.01799999999999996,0.135145259922565,0.039482666666666666,0.02937770848008575,-0.0034330562418773414,0.0004763841629028265
exp3_test_halueval,truthfulqa+fever,halueval,internal_plus_nli,14,logistic_regression,2500,1500,750,750,0.388,0.42486583184257604,0.6333333333333333,0.5085653104925053,0.19883377777777778,0.3446768303067422,0.36008959935446183,0.38386817566466463,475,643,107,275,0.17400000000000002,0.29508966005888293,0.038768,0.008126342658900942,0.0038159113945321343,-0.03548557552515441
exp3_test_halueval,truthfulqa+fever,halueval,internal_plus_nli,14,xgboost,2500,1500,750,750,0.44333333333333336,0.4651924651924652,0.7573333333333333,0.5763571790969051,0.4445244444444445,0.49435131737456384,0.30249646921814943,0.22734116888046266,568,653,97,182,0.04533333333333334,0.17795611314087578,0.08465066666666671,0.0728815326444251,-0.00578922528491832,0.0001398057043552614
exp3_test_halueval,truthfulqa+fever,halueval,all_three,19,logistic_regression,2500,1500,750,750,0.4493333333333333,0.46900489396411094,0.7666666666666667,0.5819838056680162,0.25828977777777773,0.3593496595515846,0.36311647992415114,0.32290992059079554,575,651,99,175,0.2353333333333333,0.36850815523439384,0.09822399999999995,0.022799171903743365,0.00684279196422144,-0.0964438305990235
