accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,ece,mce,tp,fp,tn,fn,min_prob,max_prob,condition,condition_display,model,num_features,train_samples,test_samples,delta_vs_internal_accuracy,delta_vs_universal_accuracy,delta_vs_internal_f1,delta_vs_universal_f1,delta_vs_internal_roc_auc,delta_vs_universal_roc_auc,delta_vs_internal_pr_auc,delta_vs_universal_pr_auc,delta_vs_internal_brier_score,delta_vs_universal_brier_score,delta_vs_internal_ece,delta_vs_universal_ece,delta_vs_internal_mce,delta_vs_universal_mce
0.746,0.7236363636363636,0.796,0.758095238095238,0.8462879999999999,0.8485567959524905,0.1597260280738645,0.049367720171859544,0.11499258829473824,199,76,174,51,0.0023676718815395315,0.9838614338620866,internal_only,Condition A (Internal-Only),logistic_regression,11,2000,500,0.0,-0.01200000000000001,0.0,-0.00786220871327259,0.0,-0.011920000000000042,0.0,-0.017137578308401902,0.0,0.005876273143259614,0.0,-0.02441646100515553,0.0,-0.0215808893582064
0.788,0.7571428571428571,0.848,0.8,0.8977919999999999,0.8981825679813876,0.12643544375896454,0.032258407667279256,0.1371562272310257,212,68,182,38,0.0073949494399130344,0.9750193357467651,internal_only,Condition A (Internal-Only),xgboost,11,2000,500,0.0,0.0020000000000000018,0.0,0.013572854291417191,0.0,-0.0032800000000000606,0.0,-0.0053094349384392725,0.0,0.0018603280186653137,0.0,-0.015910230632871364,0.0,-0.008518478274345404
0.758,0.7415730337078652,0.792,0.7659574468085106,0.858208,0.8656943742608924,0.15384975493060488,0.07378418117701507,0.13657347765294464,198,69,181,52,0.007374828755725428,0.9886600775929342,universal_core,Condition B (Universal Core),logistic_regression,19,2000,500,0.01200000000000001,0.0,0.00786220871327259,0.0,0.011920000000000042,0.0,0.017137578308401902,0.0,-0.005876273143259614,0.0,0.02441646100515553,0.0,0.0215808893582064,0.0
0.786,0.7848605577689243,0.788,0.7864271457085829,0.901072,0.9034920029198269,0.12457511574029922,0.04816863830015062,0.1456747055053711,197,54,196,53,0.006865946110337973,0.9790874719619751,universal_core,Condition B (Universal Core),xgboost,19,2000,500,-0.0020000000000000018,0.0,-0.013572854291417191,0.0,0.0032800000000000606,0.0,0.0053094349384392725,0.0,-0.0018603280186653137,0.0,0.015910230632871364,0.0,0.008518478274345404,0.0
0.65,0.6245847176079734,0.752,0.6823956442831216,0.6990239999999999,0.6542783040867214,0.21867778868902396,0.03501518172195992,0.09492714961562382,188,113,137,62,0.0580954840097051,0.8884811770837965,retrieval_only,Condition C (Retrieval-Only),logistic_regression,6,2000,500,-0.09599999999999997,-0.10799999999999998,-0.07569959381211644,-0.08356180252538903,-0.14726400000000006,-0.1591840000000001,-0.19427849186576907,-0.21141607017417097,0.05895176061515947,0.06482803375841908,-0.014352538449899623,-0.03876899945505515,-0.020065438679114422,-0.04164632803732082
0.68,0.640625,0.82,0.7192982456140351,0.7490959999999999,0.7292715900778699,0.20530830323696136,0.0522752110362053,0.09983747535281712,205,115,135,45,0.04384000971913338,0.8980005979537964,retrieval_only,Condition C (Retrieval-Only),xgboost,6,2000,500,-0.10799999999999998,-0.10599999999999998,-0.08070175438596494,-0.06712890009454775,-0.14869600000000005,-0.1519760000000001,-0.16891097790351772,-0.174220412841957,0.07887285947799683,0.08073318749666214,0.020016803368926042,0.004106572736054678,-0.03731875187820857,-0.045837230152553976
0.766,0.7453874538745388,0.808,0.7754318618042226,0.863664,0.8674902423321325,0.15045569580920035,0.037967887605172716,0.08478571764246756,202,69,181,48,0.002759775135278746,0.9851809262318265,internal_plus_retrieval,Condition D (Internal + Retrieval),logistic_regression,17,2000,500,0.020000000000000018,0.008000000000000007,0.01733662370898459,0.009474414995712,0.017376000000000058,0.005456000000000016,0.018933446379642005,0.0017958680712401032,-0.009270332264664144,-0.00339405912140453,-0.011399832566686828,-0.03581629357184236,-0.03020687065227068,-0.05178776001047708
0.806,0.776173285198556,0.86,0.8159392789373814,0.9183679999999999,0.921433142132679,0.11797529458999634,0.05932449778541922,0.12182646633973765,215,62,188,35,0.006132986396551132,0.9773534536361694,internal_plus_retrieval,Condition D (Internal + Retrieval),xgboost,17,2000,500,0.018000000000000016,0.020000000000000018,0.01593927893738134,0.02951213322879853,0.020575999999999928,0.017295999999999867,0.023250574151291392,0.01794113921285212,-0.0084601491689682,-0.006599821150302887,0.027066090118139964,0.0111558594852686,-0.015329760891288041,-0.023848239165633445
0.762,0.7490494296577946,0.788,0.7680311890838206,0.870592,0.8823245226538134,0.14586111848191743,0.0605998468213875,0.13910414599005455,197,66,184,53,0.005400090200956676,0.9925072030531964,universal_plus_retrieval,Condition E (Universal + Retrieval),logistic_regression,25,2000,500,0.016000000000000014,0.0040000000000000036,0.009935950988582576,0.0020737422753099866,0.024304000000000103,0.012384000000000062,0.033767726701323,0.016630148392921096,-0.013864909591947056,-0.007988636448687442,0.011232126649527954,-0.013184334355627575,0.02411155769531631,0.0025306683371099092
0.812,0.793233082706767,0.844,0.8178294573643411,0.916928,0.9200996397023382,0.11850632727146149,0.051770861066877845,0.10324843587546517,211,55,195,39,0.006010169629007578,0.9788317680358887,universal_plus_retrieval,Condition E (Universal + Retrieval),xgboost,25,2000,500,0.02400000000000002,0.026000000000000023,0.01782945736434105,0.03140231165575824,0.019136000000000042,0.01585599999999998,0.021917071720950587,0.016607636782511315,-0.007929116487503052,-0.006068788468837738,0.01951245339959859,0.0036022227667272255,-0.03390779135556052,-0.04242626962990592
